"label","weight","calories","protein","carbohydrates","fats","fiber","sugars","sodium","chinese_name","food_category","food_source"
"apple_pie",80,240,2,36,10,2,16,120,"苹果派","甜点","混合/其他"
"apple_pie",100,300,3,45,12,2,20,150,"苹果派","甜点","混合/其他"
"apple_pie",120,360,4,54,14,3,24,180,"苹果派","甜点","混合/其他"
"apple_pie",150,450,5,68,18,3,30,225,"苹果派","甜点","混合/其他"
"apple_pie",200,600,6,90,24,4,40,300,"苹果派","甜点","混合/其他"
"baby_back_ribs",150,540,38,15,33,1,12,720,"小排骨","肉类","动物性"
"baby_back_ribs",200,720,50,20,44,2,16,960,"小排骨","肉类","动物性"
"baby_back_ribs",250,900,63,25,55,2,20,1200,"小排骨","肉类","动物性"
"baby_back_ribs",300,1080,75,30,66,3,24,1440,"小排骨","肉类","动物性"
"baby_back_ribs",350,1260,88,35,77,3,28,1680,"小排骨","肉类","动物性"
"baklava",50,165,3,20,8,1,13,60,"巴克拉瓦酥","甜点","混合/其他"
"baklava",70,231,4,28,11,1,18,84,"巴克拉瓦酥","甜点","混合/其他"
"baklava",100,330,6,40,16,2,25,120,"巴克拉瓦酥","甜点","混合/其他"
"baklava",120,396,7,48,19,2,30,144,"巴克拉瓦酥","甜点","混合/其他"
"baklava",150,495,9,60,24,3,38,180,"巴克拉瓦酥","甜点","混合/其他"
"beef_carpaccio",100,200,20,1,12,0,0,300,"意式生牛肉片","肉类","动物性"
"beef_carpaccio",150,300,30,2,18,0,0,450,"意式生牛肉片","肉类","动物性"
"beef_carpaccio",200,400,40,3,24,0,0,600,"意式生牛肉片","肉类","动物性"
"beef_carpaccio",250,500,50,4,30,0,0,750,"意式生牛肉片","肉类","动物性"
"beef_carpaccio",300,600,60,5,36,0,0,900,"意式生牛肉片","肉类","动物性"
"beef_tartare",100,250,25,2,15,0,1,400,"鞑靼牛肉","肉类","动物性"
"beef_tartare",150,375,38,3,23,0,2,600,"鞑靼牛肉","肉类","动物性"
"beef_tartare",200,500,50,4,30,0,3,800,"鞑靼牛肉","肉类","动物性"
"beef_tartare",250,625,63,5,38,0,4,1000,"鞑靼牛肉","肉类","动物性"
"beef_tartare",300,750,75,6,45,0,5,1200,"鞑靼牛肉","肉类","动物性"
"beet_salad",100,80,3,12,2,3,8,150,"甜菜沙拉","蔬果/素食","植物性"
"beet_salad",150,120,5,18,3,5,12,225,"甜菜沙拉","蔬果/素食","植物性"
"beet_salad",200,160,6,24,4,6,16,300,"甜菜沙拉","蔬果/素食","植物性"
"beet_salad",250,200,8,30,5,8,20,375,"甜菜沙拉","蔬果/素食","植物性"
"beet_salad",300,240,10,36,6,9,24,450,"甜菜沙拉","蔬果/素食","植物性"
"beignets",50,200,3,25,10,1,12,100,"法式炸甜饼","甜点","混合/其他"
"beignets",70,280,4,35,14,1,17,140,"法式炸甜饼","甜点","混合/其他"
"beignets",100,400,6,50,20,2,24,200,"法式炸甜饼","甜点","混合/其他"
"beignets",120,480,7,60,24,2,29,240,"法式炸甜饼","甜点","混合/其他"
"beignets",150,600,9,75,30,3,36,300,"法式炸甜饼","甜点","混合/其他"
"bibimbap",300,450,15,60,12,5,10,800,"韩式拌饭","快餐","混合/其他"
"bibimbap",400,600,20,80,16,7,13,1067,"韩式拌饭","快餐","混合/其他"
"bibimbap",500,750,25,100,20,8,17,1333,"韩式拌饭","快餐","混合/其他"
"bibimbap",600,900,30,120,24,10,20,1600,"韩式拌饭","快餐","混合/其他"
"bibimbap",700,1050,35,140,28,12,23,1867,"韩式拌饭","快餐","混合/其他"
"bread_pudding",100,250,6,35,10,2,20,200,"面包布丁","甜点","混合/其他"
"bread_pudding",150,375,9,53,15,3,30,300,"面包布丁","甜点","混合/其他"
"bread_pudding",200,500,12,70,20,4,40,400,"面包布丁","甜点","混合/其他"
"bread_pudding",250,625,15,88,25,5,50,500,"面包布丁","甜点","混合/其他"
"bread_pudding",300,750,18,105,30,6,60,600,"面包布丁","甜点","混合/其他"
"breakfast_burrito",200,400,20,40,15,5,5,600,"早餐墨西哥卷","快餐","混合/其他"
"breakfast_burrito",250,500,25,50,19,6,6,750,"早餐墨西哥卷","快餐","混合/其他"
"breakfast_burrito",300,600,30,60,23,7,7,900,"早餐墨西哥卷","快餐","混合/其他"
